region,site ID,Site name,Operator,,  Is site properly fenced and locked?,,stopped by security and identification checked,,visitor log maintained,,Is there a site emergency contact list?,, Are  signs   posted as required?,,Is security fences  intact and locks operational?,,Are there  signs of soil erosion that may weaken tower and anchor bases ?,,Is the  site  well cleaned and maintained?,,Has any  spillage taken place? ,,Is the concrete that is visible in overall good condition?(tower stubs and foundations),,Is the concrete that is visible in overall good condition? (all equipment plinths),,Is there grout  applied to the tower base?,,Are there any signs of rust or corrosion on anchor bolts?,,Are any of the nuts missing  on the HD bolts?,,Are the  RF exposure signs  mounted to the tower?,,Is tower painting  in overall good condition?,,Are there any rusted or missing members?,,Are there any missing bolts and nuts?,,Are navigation lights installed and in working order?,,Is climbing ladder installed and in good condition?,,Is safety cage installed and in good condition?,,Is  the tower level and plumb?,,Is there a visible twist in the tower?,,Is it close to the nearest inhabited building?,,Is there a lightning spike fitted to the top of tower all earth connections terminated?,,Is there  space available on ladder to accommodate additional feeder cables?,, Climbing ladder installed and in good condition?,,Is there space available to fit additional RF or MW antennas?,, Is there a shelter or brick enclosures?,,Is the shelter or brick enclosure  in  good condition?,,Have all earthing connections been terminated?,, Is there any intrusion system fitted?,,Are there traces of acid on the UPS battery and rectifier installation?,,Is the UPS batter array maintained on a regular basis?,,Are  RF cables secured properly in cable tray/ladder?,,Is the overall condition of feeder cables and waterproofing  good ?,,Are there any unused cables?,,Do you not any cables that have not been terminated?,,Is there fire alarm present?,,Is there an  intrusion alarm installed?,,Is there generator installed on site?,,Is the overall condition of the generatorand fuel tank/piping acceptable?,,Are the power cables in  good condition?,,Are the  cables properly insulated and terminated?,,Are the  appriporiate ECG meters installed on site?,,
7,,AKIM AWISA,Birim South,tigo/vodafone,yes,,yes,,yes,,no,,no,,yes,,yes,,yes,,no,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,yes,,NA,,NA,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,GH0291,AKIM AYIREBI,Birim South,AIRTEL,YES,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES ,,YES ,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,1869,AKIM MANSO,BIRIM SOUTH,MTN,YES,,NO,,YES,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,,AKIM MANSO,BIRIM SOUTH,vodafone/airtel,yes,,no,,yes,,yes,,yes,,yes,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,yes,,NA,,NA,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,,Akim Manso Airtel,BIRIM SOUTH,Vodafone/Airtel,yes,,no,,yes,,yes,,yes,,yes,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,N/A,,N/A,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,653,AKIM ODA,BIRIM SOUTH,MTN,YES,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,,AKIM ODA,BIRIM SOUTH,tigo,yes,,yes,,yes,,no,,no,,yes,,no,,yes,,yes,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,no,,yes,,yes,,YES,,no,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,yes,,NA,,NA,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,2787,AKIM ODA 2,BIRIM SOUTH,MTN,YES,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,,AKIM ODA GT,BIRIM SOUTH,VODAFONE,YES,,YES,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,,AKIM OFOASE,BIRIM SOUTH,VODAFONE/AIRTEL,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,YES ,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,1881,AKIM SKEYERE,KWABEN,MTN,YES,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES ,,YES ,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,,AKIM SWEDRU,BIRIM NORTH,VODAFONE/TIGO,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,649,AKIM SWEDRU,BIRIM NORTH,MTN,YES,,NO,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,649,AKIM SWEDRU ,BIRIM NORTH,MTN/AIRTEL,YES,,NO,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,2716,AKIM TAKYIMA,BIRIM SOUTH,MTN,YES,,NO,,YES,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,YES ,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,4740,AKIMODA,Birim Central,MTN,YES,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,4739,AKIMODA 5,Birim Central,MTN,YES,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,AKM,AKM SEKYERE,KWABEN,AIRTEL,YES,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES ,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,1871,AKOASE,BEGORO,MTN,YES,,NO,,YES,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,YES ,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,1876,AKOKOASE,BEGORO,MTN,YES,,NO,,YES,,,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,YES ,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
8,,Akontombra,Sefwi Akontombra,TIGO,yes,,no,null,no,null,yes,,no,null,yes,,no,,yes,,yes,null,yes,,yes,,no,null,no,,no,,yes,,no,null,no,,no,,yes,,yes,,no,null,yes,,no,,yes,cs3671_ct0006_se0081_1351163124161,yes,,yes,,YES,,yes,,yes,,yes,,yes,,NO,null,NO,,YES,,yes,,yes,,no,,no,,YES,,YES,,yes,,no,null,yes,,yes,,yes,,
8,,AKONTOMBRA MTN,SEFWI WIAWSO,MTN,yes,,no,null,no,null,no,cs1159_ct0002_se0007_1350553052245,no,cs1159_ct0002_se0007_1350553052245,yes,,no,,no,cs1159_ct0004_se0008_1350553163649,no,,yes,,yes,,no,null,no,,no,,no,cs1159_ct0002_se0007_1350553052245,no,null,no,,no,,yes,,yes,,no,cs1159_ct0006_se0096_1350553513573,yes,,no,,yes,cs1159_ct0002_se0007_1350553052245,yes,,yes,,YES,,yes,,yes,,yes,,yes,,NO,null,NO,,YES,,yes,,yes,,no,,no,,YES,,YES,,yes,,yes,,yes,,yes,,yes,,
7,3117,AKORABO,SUHUM/KRABOA/COALTAR,VODAFONE,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES ,,YES ,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,3776,AKORABO,SUHUM/KRABOA/COALTAR,MTN,YES,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES ,,YES ,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,3776,AKORABO MTN,SUHUM/KRABOA/COALTAR,MTN,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,NULL,YES,SDC10815,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,NULL,YES,,YES ,,YES ,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,3117,AKORABO VODAFONE,SUHUM/KRABOA/COALTAR,VODAFONE,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,NO,,YES,,YES,NULL,YES,,YES,,NO,SDC10903,NO,,NO,,YES,,NO,SDC10906,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,SDC10947,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,,YES,,YES ,,YES ,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,,AKOSOMBO,AKWAMU-ANUM-BOSO,TIGO/VODA/MTN,YES,,NO,,YES,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,778,AKOSOMBO,AKWAMU-ANUM-BOSO,mtn,yes,,no,,yes,,no,,no,,yes,,no,,yes,,no,,yes,,yes,,no,,no,,no,,no,,yes,,no,,no,,yes,,yes,,no,,YES,,no,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,yes,,NA,,NA,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,EAB 3262 A,Akosombo,AKWAMU-ANUM-BOSO,Vodafone,yes,,yes,,yes,,yes,,yes,,yes,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,N/A,,N/A,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,,AKOSOMBO 2,ASUOGYAMAN,vodafone/tigo/mtn,yes,,no,,yes,,no,,no,,yes,,no,,yes,,no,,yes,,yes,,no,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,YES,,yes,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,yes,,NA,,NA,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,776,AKOSOMBO 2,ASUOGYAMAN,mtn/vodafone/tigo,yes,,no,,yes,,no,,no,,yes,,no,,yes,,no,,yes,,yes,,no,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,YES,,yes,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,yes,,NA,,NA,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,,AKOSOMBO 2 OLD 114,ASUOGYAMAN,expresso,yes,,no,,yes,,yes,,no,,yes,,no,,no,,no,,yes,,yes,,no,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,yes,,NA,,NA,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,1798,AKOSOMBO 3,ASUOGYAMAN,MTN,YES,,YES,,YES,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,GH0261,Akosombo Airtel,ASUOGYAMAN,Airtel,yes,,no,,yes,,no,,yes,,yes,,no,,no,,no,,yes,,yes,,yes,,no,,no,,yes,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,N/A,,N/A,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,3749,AKOSOMBO ATL,ASUOGYAMAN,mtn,yes,,no,,yes,,no,,no,,yes,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,yes,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,yes,,NA,,NA,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,GH0318,Akosombo GT ,ASUOGYAMAN,Airtel,yes,,no,,yes,,yes,,yes,,yes,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,N/A,,N/A,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,,AKOSOMBO OLD 200,ASUOGYAMAN,EXPRESSO,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,,YES,,NO,,NO,,NO,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,3005,AKOSOMBO R597,ASUOGYAMAN,vodafone,yes,,yes,,yes,,yes,,yes,,yes,,no,,yes,,no,,yes,,yes,,no,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,yes,,NA,,NA,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,,Akosombo Tigo RS GT,ASUOGYAMAN,Tigo,yes,,no,,yes,,no,,no,,yes,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,N/A,,N/A,,no,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,,AKRADE,ASUOGYAMAN,TIGO/VODA/AIRTEL,YES,,YES,,YES,,NO,,NO,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,,AKRADE,ASUOGYAMAN,tigo/vodafone/airtel,yes,,yes,,yes,,no,,no,,yes,,no,,no,,no,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,no,,yes,,no,,YES,,no,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,yes,,NA,,NA,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,,Akrade Airtel,ASUOGYAMAN,Tigo/Vodafone/Airtel,yes,,yes,,yes,,no,,no,,yes,,no,,no,,no,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,no,,yes,,no,,YES,,no,,YES,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,N/A,,N/A,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
4,1972,AKRODIE,GOASO,MTN,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,
4,GH0825,AKRODIE AIRTEL,GOASO,AIRTEL,YES,,NO,,NO,NULL,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,NULL,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,,YES,,YES,,YES,,NO,,NO,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
4,BAB2061,AKRODIE VODAFONE,GOASO,VODAFONE,YES,,NO,,NO,NULL,NO,cs2435 (8).JPG,YES,,YES,,NO,,YES,,YES,NULL,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,NO,cs4197_ct0006_se0006_1004699.JPG,YES,,NO,,YES,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,
4,,AKROFROM,TECHIMAN,EXPRESSO,YES,,YES,,YES,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,YES,,YES,,YES,,
7,820,AKROPONG,AKWAPIM NORTH,MTN,YES,,YES,,NO,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NA,,NA,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
7,3056,AKROPONG AKUAPIM,AKWAPIM NORTH,VODAFONE,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,NO,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,OLD 110,AKROPONG AKUAPIM,AKWAPIM NORTH,expresso,yes,,yes,,yes,,no,,no,,yes,,no,,yes,,yes,,yes,,yes,,no,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,no,,NA,,NA,,yes,,yes,,no,,no,,no,,no,,yes,,yes,,yes,,yes,,YES,,
7,1851,AKROPONG-2,AKWAPIM NORTH,MTN,YES,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,,AKROSO,BIRIM SOUTH,VODAFONE,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,855,Akuapim MPG,AKWAPIM NORTH,MTN,no,,no,,no,,no,,no,,no,,no,,no,,yes,,yes,,yes,,yes,,no,,no,,no,,no,,no,,yes,,yes,,yes,,yes,,YES,,yes,,YES,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,N/A,,N/A,,yes,,yes,,no,,no,,no,,no,,yes,,yes,,yes,,yes,,YES,,
4,2917,AKUMA,NKORANZA,MTN,YES,,YES,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,NO,,YES,,NO,,NO,,YES,,NO,,NO,,YES,,NO,,NO,,NO,,yes,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
4,,AKUNTANIM,DORMAA,EXPRESSO,YES,,NO,,NO,NULL,NO,DSCN4103.JPG,NO,DSCN4103.JPG,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,DSCN4092.JPG,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,DSCN4123.JPG,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,,YES,,YES,,YES,,NO,,NO,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
7,1564,AKUSE,YILO-KROBO-OSUDOKU,mtn,yes,,no,,yes,,no,,no,,yes,,yes,,no,,no,,yes,,yes,,no,,no,,no,,no,,yes,,no,,no,,yes,,yes,,no,,YES,,no,,YES,,yes,,yes,,,,yes,,yes,,yes,,yes,,yes,,YES,,YES,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,,Akuse,YILO-KROBO-OSUDOKU,aritel,no,,no,,no,,yes,,yes,,no,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,yes,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,no,,YES,,YES,,yes,,yes,,no,,no,,YES,,YES,,yes,,yes,,yes,,yes,,YES,,
7,1407,AKUSE ,YILO-KROBO-OSUDOKU,TIGO,YES,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,,AKUSE 1800,Lower Manya Krobo,TIGO,YES,,NO,,NO,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,,Akuse AIRTEL,YILO-KROBO-OSUDOKU,airtel,no,DSC00963,no,NULL,no,NULL,yes,,yes,,no,DSC00969,no,,yes,,no,,yes,,yes,,yes,,no,,no,,yes,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,DSC00979,yes,,yes,,yes,,yes,,yes,,yes,,yes,,no,NULL,YES,NULL,YES,,yes,,yes,,no,,no,,YES,,YES,,yes,,yes,,yes,,yes,,YES,,
7,,Akuse MTN,YILO-KROBO-OSUDOKU,mtn,yes,,no,NULL,no,NULL,no,NULL,no,DSC01018,yes,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,no,DSC00999,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,DSC01015,yes,,yes,,yes,,yes,,yes,,yes,,yes,,no,NULL,YES,NULL,YES,,yes,,yes,,no,,no,,YES,,YES,,yes,,yes,,yes,,yes,,YES,,
7,1407,AKUSE TIGO,YILO-KROBO-OSUDOKU,TIGO,YES,,NO,NULL,NO,NULL,YES,,NO,DSC00939,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,DSC00946,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,NULL,YES,,YES,,,,YES,,YES,,YES,,YES,,YES,,YES,NULL,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
